"Selector","Fitness","VS Buy Hold (%)","Win/Loss Ratio","# Trades/Day","Strategy","Order Type","Ending Balance ($)","Buy Hold ($)","# Wins","# Losses","Period","Min Periods","# Days","Full Parameters"
"binanceus.ETH-USD",2.2248853080075093,11.244265400375463,"Infinity",0.143,"trend_ema","maker",509.4698394,457.9740246082658,2,0,"61m",63,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":8,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":4.013233153401338,""markup_sell_pct"":-0.9375986087355579,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":63,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":45,""oversold_rsi_periods"":37,""period"":""61m"",""period_length"":""61m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":9,""quarentine_time"":10,""rsi_periods"":37,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":11,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":3,""net_currency"":504.4965965383001,""start"":""202009192000""}"
"binanceus.ETH-USD",2.2145787297598947,10.72893648799474,"Infinity",0.143,"trend_ema","maker",507.10976684,457.9740246082658,2,0,"61m",33,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":9,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":4.013233153401338,""markup_sell_pct"":-0.9375986087355579,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":33,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":45,""oversold_rsi_periods"":48,""period"":""61m"",""period_length"":""61m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":9,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":11,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":3,""net_currency"":502.1365239813,""start"":""202009192000""}"
"binanceus.ETH-USD",2.201158710193335,10.057935509666763,"Infinity",0.143,"trend_ema","taker",511.37748936,464.64390504134434,2,0,"69m",50,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":3,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":0.49845741450504644,""markup_sell_pct"":-0.10251813638637763,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":50,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":36,""oversold_rsi_periods"":38,""period"":""69m"",""period_length"":""69m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":15,""quarentine_time"":10,""rsi_periods"":38,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":33,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":17,""net_currency"":10.483741992499972,""start"":""202009192000""}"
"binanceus.ETH-USD",2.0712735628993535,3.5636781449676747,"Infinity",0.071,"trend_ema","taker",516.36588472,498.5974754558204,1,0,"80m",87,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":4,""buy_stop_pct"":15,""generations"":10,""markdown_buy_pct"":-0.6426621793375089,""markup_sell_pct"":4.8269475723693755,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":87,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":87,""oversold_rsi_periods"":38,""period"":""80m"",""period_length"":""80m"",""profit_stop_enable_pct"":2,""profit_stop_pct"":17,""quarentine_time"":10,""rsi_periods"":38,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":23,""net_currency"":9.997272114499935,""start"":""202009192000""}"
"binanceus.ETH-USD",1.0567639812188943,5.67639812188944,0,0.071,"trend_ema","taker",496.32775677,469.66755641834504,0,1,"52m",36,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":5,""buy_stop_pct"":50,""generations"":10,""markdown_buy_pct"":4.513867042137014,""markup_sell_pct"":4.105675988472072,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":36,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":66,""oversold_rsi_periods"":33,""period"":""52m"",""period_length"":""52m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":5,""quarentine_time"":10,""rsi_periods"":33,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":17,""net_currency"":6.146601260000011,""start"":""202009192000""}"
"binanceus.ETH-USD",1.047149685541049,4.714968554104899,0,0.071,"trend_ema","maker",478.3976487,456.85698549660356,0,1,"7m",51,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":0,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":4.2617591109312825,""markup_sell_pct"":3.9347286437703977,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":51,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":72,""oversold_rsi_periods"":30,""period"":""7m"",""period_length"":""7m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":8,""quarentine_time"":10,""rsi_periods"":30,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":1,""net_currency"":10.651025427200068,""start"":""202009192000""}"
"binanceus.ETH-USD",1.047149685541049,4.714968554104899,0,0.071,"trend_ema","taker",478.3976487,456.85698549660356,0,1,"7m",51,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":1,""buy_stop_pct"":50,""generations"":10,""markdown_buy_pct"":4.2617591109312825,""markup_sell_pct"":0.3038885967173601,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":51,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":75,""oversold_rsi_periods"":30,""period"":""7m"",""period_length"":""7m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":8,""quarentine_time"":10,""rsi_periods"":30,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":22,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":1,""net_currency"":10.651025427200068,""start"":""202009192000""}"
"binanceus.ETH-USD",1.006409501995239,0.6409501995239205,0,0.071,"trend_ema","taker",468.33409879,465.35142788448695,0,1,"88m",80,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":2,""buy_stop_pct"":17,""generations"":10,""markdown_buy_pct"":0.49845741450504644,""markup_sell_pct"":-0.3025849519981523,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":80,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":36,""oversold_rsi_periods"":49,""period"":""88m"",""period_length"":""88m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":15,""quarentine_time"":10,""rsi_periods"":49,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":33,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":15,""net_currency"":10.191103673600026,""start"":""202009192000""}"
"binanceus.ETH-USD",1.0034795505706766,0.34795505706765234,0,0.071,"trend_ema","maker",458.7113137,457.12073897184246,0,1,"17m",33,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":6,""buy_stop_pct"":45,""generations"":10,""markdown_buy_pct"":-0.9348849431254354,""markup_sell_pct"":2.315512796294715,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":33,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":64,""oversold_rsi_periods"":48,""period"":""17m"",""period_length"":""17m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":3,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":3,""net_currency"":11.019889683599956,""start"":""202009192000""}"
"binanceus.ETH-USD",1.0030296682475455,0.3029668247545502,0,0.071,"trend_ema","taker",458.50566316,457.12073897184246,0,1,"17m",62,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":7,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":-0.43186606259767224,""markup_sell_pct"":0.3058114258149143,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":62,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":23,""oversold_rsi_periods"":48,""period"":""17m"",""period_length"":""17m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":18,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":10,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":3,""net_currency"":8.573182143999986,""start"":""202009192000""}"
